Date,GDP_Growth,Unemployment_Rate,Interest_Rate,Housing_Cost_Index,Inflation_Rate,Industrial_Production,Consumer_Sentiment,SP500_Returns,Yield_Curve,Corporate_Profits_Growth
2010-06-30,1.4601333865235766,9.4,0.18,147.704,-0.07085248420771739,91.9033,76.0,-11.86219666009427,2.36,-0.371631910774739
2010-09-30,1.077516157502112,9.5,0.19,144.608,0.49539822927360255,92.8533,68.2,10.719794551502826,2.11,10.411128141016036
2010-12-31,1.108647186523859,9.3,0.18,140.626,1.0065284618027803,93.5916,74.5,10.20330077625684,2.69,0.9722901136502538
2011-03-31,0.274170098855131,9.0,0.14,137.783,1.1674951921332388,93.9684,67.5,5.422055644858914,2.67,-9.54235091514689
2011-06-30,1.3424857381531652,9.1,0.09,141.944,0.7890748993481189,94.0493,71.5,-0.39144849477483756,2.73,8.549989512421696
2011-09-30,0.5794039789969396,9.0,0.08,140.168,0.7966869211675887,95.0244,59.5,-14.327899246146691,1.67,3.732684695511268
2011-12-31,1.2435006339597932,8.5,0.07,135.166,0.276261380336007,96.1809,69.9,11.152350739750894,1.64,6.322163093464761
2012-03-31,1.4300107074376234,8.2,0.13,135.864,0.6971125282211554,96.5609,76.2,11.996660149972938,1.9,2.3670729655902223
2012-06-30,0.8607360659364405,8.2,0.16,143.167,-0.12368502711892493,97.4768,73.2,-3.287960516497135,1.34,-1.6649836014865471
2012-09-30,0.6936829904643727,7.8,0.14,144.355,1.0900386830267284,97.2217,78.3,5.763640673315229,1.42,-1.394056021288126
2012-12-31,0.6181423852545942,7.9,0.16,143.863,0.08917169880744424,98.1884,72.9,-1.0050949972839285,1.53,-0.3601701748367603
2013-03-31,1.3871144213798425,7.5,0.14,147.961,0.45886835538295756,99.047,78.6,10.026714945065397,1.62,0.02771953014513162
2013-06-30,0.48352406378857626,7.5,0.09,156.42600000000002,0.07017332380467867,99.2221,84.1,2.363645528939995,2.16,0.21716440127699244
2013-09-30,1.3458976188627236,7.2,0.08,159.671,0.4728000172083746,100.021,77.5,4.685983649077574,2.31,1.004799436396464
2013-12-31,1.4048795322923358,6.7,0.09,159.28,0.5031171856266781,100.374,82.5,9.920010209609131,2.66,1.8047708725674738
2014-03-31,0.03326543554891259,6.7,0.08,161.187,0.5576881292098212,101.7435,80.0,1.2973652675233094,2.29,-5.64365197631731
2014-06-30,1.8651871542641363,6.1,0.1,166.21099999999998,0.509685291575579,102.5774,82.5,4.694126934898324,2.06,9.023732907671466
2014-09-30,1.6309608101328976,5.9,0.09,167.239,0.10369639718250667,102.9417,84.6,0.6152369218874076,1.94,4.842510595125238
2014-12-31,0.605760609221595,5.6,0.12,166.456,-0.5158394286604584,103.6151,93.6,4.391335025066545,1.5,-0.45976147458236527
2015-03-31,0.8455188255924728,5.4,0.11,168.08599999999998,-0.1168244078357028,101.7869,93.0,0.4366404711633187,1.38,-2.8562418033353465
2015-06-30,1.1971913129488865,5.3,0.13,173.449,0.7123605790419374,100.4588,96.1,-0.23114311711688318,1.71,-1.479828164528041
2015-09-30,0.6665396046255267,5.0,0.14,175.042,-0.06690314192303592,100.633,87.2,-6.935164420467954,1.42,-1.073071793731939
2015-12-31,0.1821089071150528,5.0,0.24,175.111,0.11073777463388446,98.9471,92.6,6.453540320655904,1.21,-4.426022965934184
2016-03-31,0.49251600354258684,5.0,0.36,176.597,0.13416834552344437,98.1635,91.0,0.7730192315364315,1.05,4.465666329511797
